COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
El Salvador,SLV,AMRO,REPORTING,2021-05-07,1074764,950691,16.57,14.657,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-17,4
Democratic Republic of the Congo,COD,AFRO,REPORTING,2021-05-12,8446,8446,0.009,0.009,SII - Covishield,2021-04-19,1
Guinea-Bissau,GNB,AFRO,REPORTING,2021-05-12,5889,5889,0.299,0.299,"Beijing CNBG - Inactivated,SII - Covishield",2021-04-02,2
Kazakhstan,KAZ,EURO,REPORTING,2021-05-09,7922143,5960311,42.2,31.743,Gamaleya - Sputnik V,2021-03-17,1
Liberia,LBR,AFRO,REPORTING,2021-05-12,36404,36404,0.72,0.72,SII - Covishield,2021-04-01,1
Uruguay,URY,AMRO,REPORTING,2021-05-07,1984669,1222137,57.134,35.182,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-17,3
Afghanistan,AFG,EMRO,REPORTING,2021-05-11,504502,448878,1.296,1.153,"Beijing CNBG - Inactivated,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-22,3
Guatemala,GTM,AMRO,REPORTING,2021-05-07,182332,180072,1.018,1.005,"AstraZeneca - AZD1222,Moderna - mRNA-1273,SII - Covishield",2021-02-25,3
Liechtenstein,LIE,OTHER,OWID,2021-05-05,13829,9645,35.691,24.892,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2
Georgia,GEO,EURO,REPORTING,2021-05-09,60475,49672,1.5,1.245,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Pfizer BioNTech - Comirnaty",2021-03-17,3
Bermuda,BMU,AMRO,REPORTING,2021-05-07,57981,32948,93.108,52.909,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty",2021-01-11,2
Belize,BLZ,AMRO,REPORTING,2021-05-07,47614,46067,11.975,11.585,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,SII - Covishield",2021-03-01,3
Ghana,GHA,AFRO,REPORTING,2021-05-12,847871,847871,2.729,2.729,"Gamaleya - Sputnik V,SII - Covishield",2021-03-02,2
Bangladesh,BGD,SEARO,REPORTING,2021-05-04,9413433,5819910,5.716,3.534,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-27,4
Grenada,GRD,AMRO,REPORTING,2021-05-07,17756,13262,15.78,11.786,"AstraZeneca - AZD1222,SII - Covishield",2021-02-15,2
Azerbaijan,AZE,EURO,REPORTING,2021-05-09,1687330,1005469,16.6,9.917,"AstraZeneca - AZD1222,Sinovac - CoronaVac",2021-01-20,2
Kyrgyzstan,KGZ,EURO,OWID,2021-04-28,27858,27000,0.4,0.414,"Beijing CNBG - Inactivated, Gamaleya - Sputnik V",,2
South Sudan,SSD,AFRO,REPORTING,2021-05-12,5459,5459,0.049,0.049,SII - Covishield,2021-04-06,1
Singapore,SGP,WPRO,REPORTING,2021-05-02,2213888,1364124,37.842,23.317,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,3
Myanmar,MMR,SEARO,REPORTING,2021-02-04,2543762,1689551,4.675,3.105,SII - Covishield,2021-01-27,1
China,CHN,WPRO,REPORTING,2021-05-03,280349977,,19.055,,"Anhui ZL - Recombinant,Beijing CNBG - Inactivated,CanSino - Ad5-nCOV,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",,5
Martinique,MTQ,AMRO,REPORTING,2021-05-07,43288,33467,11.535,8.918,,,
Denmark,DNK,EURO,REPORTING,2021-05-09,2380018,1507815,40.9,25.895,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,3
Lesotho,LSO,AFRO,REPORTING,2021-05-12,20267,36637,0.946,1.71,SII - Covishield,2021-03-10,1
Tonga,TON,WPRO,REPORTING,2021-04-30,9388,9388,8.882,8.882,AstraZeneca - AZD1222,2021-04-14,1
New Caledonia,NCL,WPRO,REPORTING,2021-05-05,67755,41364,23.732,14.488,Pfizer BioNTech - Comirnaty,2021-01-20,1
Montenegro,MNE,EURO,REPORTING,2021-05-09,112912,82536,18,13.141,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-02-24,4
The United Kingdom,GBR,EURO,OWID,2021-05-10,53675733,35587348,79.1,52.422,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3
Tajikistan,TJK,EURO,REPORTING,2021-05-09,70517,70517,0.7,0.739,"AstraZeneca - AZD1222,SII - Covishield",2021-04-07,2
American Samoa,ASM,WPRO,REPORTING,2021-05-05,35936,20201,65.105,36.598,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3
Austria,AUT,EURO,REPORTING,2021-05-11,3683670,2699432,41.4,30.327,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4
Somalia,SOM,EMRO,REPORTING,2021-05-02,123570,123570,0.778,0.778,"Beijing CNBG - Inactivated,SII - Covishield,Sinovac - CoronaVac",2021-03-16,3
Malta,MLT,EURO,REPORTING,2021-05-09,360964,237498,70.1,46.155,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Congo,COG,AFRO,REPORTING,2021-05-12,38151,22531,0.691,0.408,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Moderna - mRNA-1273,SII - Covishield",2021-03-23,4
Monaco,MCO,EURO,OWID,2021-04-23,25937,13934,66.1,35.506,Pfizer BioNTech - Comirnaty,,1
Brunei Darussalam,BRN,WPRO,REPORTING,2021-04-26,10715,10684,2.449,2.442,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-04-03,5
French Polynesia,PYF,WPRO,REPORTING,2021-05-05,67488,42355,24.025,15.078,Pfizer BioNTech - Comirnaty,2021-01-18,1
Guinea,GIN,AFRO,REPORTING,2021-05-12,202784,143098,1.544,1.09,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-05,6
Zimbabwe,ZWE,AFRO,REPORTING,2021-05-12,709772,539526,4.775,3.63,"Beijing CNBG - Inactivated,Bharat - Covaxin,Sinovac - CoronaVac",2021-02-18,3
Italy,ITA,EURO,REPORTING,2021-05-09,24038348,16676331,40.3,27.962,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Suriname,SUR,AMRO,REPORTING,2021-05-07,41287,41205,7.038,7.024,"AstraZeneca - AZD1222,SII - Covishield",2021-02-23,2
Australia,AUS,WPRO,REPORTING,2021-04-28,2316969,,9.086,,"AstraZeneca - AZD1222,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-22,3
Saudi Arabia,SAU,EMRO,REPORTING,2021-04-29,8943307,,25.689,,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-06,3
Dominica,DMA,AMRO,REPORTING,2021-05-07,29040,18801,40.338,26.116,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,SII - Covishield",2021-02-12,3
Ecuador,ECU,AMRO,REPORTING,2021-05-07,1176666,920338,6.669,5.216,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-21,3
Sudan,SDN,EMRO,REPORTING,2021-05-09,290500,204838,0.662,0.467,"Beijing CNBG - Inactivated,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-09,4
Iraq,IRQ,EMRO,REPORTING,2021-04-19,190264,176419,0.473,0.439,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-03-02,4
Armenia,ARM,EURO,OWID,2021-03-31,565,565,0,0.019,Gamaleya - Sputnik V,,1
Saint Helena,SHN,AFRO,OWID,2021-04-09,4572,3563,75.309,58.689,AstraZeneca - AZD1222,,1
France,FRA,EURO,REPORTING,2021-05-09,25709763,17829181,38.2,26.484,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Wallis and Futuna,WLF,WPRO,REPORTING,2021-05-01,7662,4205,68.131,37.391,Moderna - mRNA-1273,2021-03-19,1
Mexico,MEX,AMRO,REPORTING,2021-05-07,19951121,,15.474,,"AstraZeneca - AZD1222,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,5
Madagascar,MDG,AFRO,REPORTING,2021-05-12,609,609,0.002,0.002,SII - Covishield,2021-05-10,1
Albania,ALB,EURO,REPORTING,2021-05-09,600833,430045,20.9,14.944,"AstraZeneca - AZD1222,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-13,5
Belarus,BLR,EURO,REPORTING,2021-05-09,474094,296710,5,3.14,Gamaleya - Sputnik V,2021-02-03,1
Fiji,FJI,WPRO,REPORTING,2021-05-05,65419,65419,7.298,7.298,"AstraZeneca - AZD1222,SII - Covishield",2021-03-07,2
Comoros,COM,AFRO,REPORTING,2021-05-12,43728,43140,5.029,4.961,"Beijing CNBG - Inactivated,Bharat - Covaxin,SII - Covishield",2021-04-10,3
Anguilla,AIA,AMRO,REPORTING,2021-05-07,10180,7188,67.858,47.914,AstraZeneca - AZD1222,2021-02-05,1
Saint Kitts and Nevis,KNA,AMRO,REPORTING,2021-05-07,13558,13281,25.489,24.968,"AstraZeneca - AZD1222,SII - Covishield",2021-02-22,2
Andorra,AND,EURO,REPORTING,2021-05-09,31641,26929,41,34.853,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty",2021-01-20,2
Peru,PER,AMRO,REPORTING,2021-05-07,1849960,1207869,5.611,3.663,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Pfizer BioNTech - Comirnaty,Wuhan CNBG - Inactivated",2021-02-09,4
Mali,MLI,AFRO,REPORTING,2021-05-12,73929,67337,0.365,0.333,SII - Covishield,2021-03-31,1
Sri Lanka,LKA,SEARO,REPORTING,2021-05-03,1134638,935657,5.299,4.37,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2021-01-29,3
Uganda,UGA,AFRO,REPORTING,2021-05-12,396103,396103,0.866,0.866,SII - Covishield,2021-03-10,1
Paraguay,PRY,AMRO,REPORTING,2021-05-07,158960,144339,2.229,2.024,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Bharat - Covaxin,Gamaleya - Sputnik V,Sinovac - CoronaVac",2021-02-22,5
Turks and Caicos Islands,TCA,AMRO,REPORTING,2021-05-07,30015,17932,77.522,46.314,Pfizer BioNTech - Comirnaty,2021-01-11,1
India,IND,SEARO,REPORTING,2021-05-04,175171482,136591191,12.694,9.898,"Bharat - Covaxin,Gamaleya - Sputnik V,SII - Covishield",2021-01-16,3
Djibouti,DJI,EMRO,REPORTING,2021-04-28,13042,12547,1.32,1.27,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2021-03-15,3
Antigua and Barbuda,ATG,AMRO,REPORTING,2021-05-07,30829,30763,31.481,31.414,"AstraZeneca - AZD1222,SII - Covishield",2021-02-19,2
Tunisia,TUN,EMRO,REPORTING,2021-05-11,537380,372240,4.547,3.15,"AstraZeneca - AZD1222,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-13,4
Lithuania,LTU,EURO,REPORTING,2021-05-09,1130872,762964,40.5,27.306,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Bhutan,BTN,SEARO,REPORTING,2021-05-03,481491,481491,62.401,62.401,"Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-27,2
Brazil,BRA,AMRO,REPORTING,2021-05-07,45902068,30869414,21.595,14.523,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-17,4
Sweden,SWE,EURO,REPORTING,2021-05-09,3906955,3023663,37.8,29.278,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Rwanda,RWA,AFRO,REPORTING,2021-05-12,400096,350400,3.089,2.705,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-14,3
occupied Palestinian territory,PSE,EMRO,REPORTING,2021-04-26,412678,248584,8.089,4.873,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-02-02,5
United Arab Emirates,ARE,EMRO,OWID,2021-05-10,11186348,,113.103,,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Wuhan CNBG - Inactivated, Gamaleya - Sputnik V",,5
Curaçao,CUW,AMRO,REPORTING,2021-05-07,107249,76122,65.359,46.39,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-02-24,3
Bulgaria,BGR,EURO,REPORTING,2021-05-11,963574,651725,13.9,9.375,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Saba,XCA,AMRO,REPORTING,2021-05-07,1300,1300,67.253,67.253,,,
Timor-Leste,TLS,SEARO,REPORTING,2021-05-03,30599,30599,2.321,2.321,"AstraZeneca - AZD1222,SII - Covishield",2021-04-07,2
Sierra Leone,SLE,AFRO,REPORTING,2021-05-12,59780,59780,0.749,0.749,"Beijing CNBG - Inactivated,SII - Covishield",2021-03-15,2
Croatia,HRV,EURO,REPORTING,2021-05-11,1144789,882398,28.2,21.811,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Syrian Arab Republic,SYR,EMRO,OWID,2021-04-08,2500,2500,0.014,0.014,Gamaleya - Sputnik V,,1
Russian Federation,RUS,EURO,OWID,2021-05-11,21844382,13205698,15,9.049,"SRCVB - EpiVacCorona, Gamaleya - Sputnik V",,2
Seychelles,SYC,AFRO,REPORTING,2021-05-12,116957,66433,118.923,67.55,"Beijing CNBG - Inactivated,SII - Covishield",2021-01-10,2
Kosovo,XKX,EURO,OWID,2021-04-23,22096,22096,1.2,1.231,,,
Argentina,ARG,AMRO,REPORTING,2021-05-07,8591061,7399515,19.009,16.372,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2020-12-29,4
Romania,ROU,EURO,REPORTING,2021-05-02,5344726,3356995,27.7,17.368,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-27,4
Guyana,GUY,AMRO,REPORTING,2021-05-07,160448,153295,20.399,19.489,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2021-02-11,4
Czechia,CZE,EURO,REPORTING,2021-05-09,3672498,2613911,34.3,24.443,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Jersey,JEY,EURO,OWID,2021-05-05,90671,53044,84.114,49.208,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2
Belgium,BEL,EURO,REPORTING,2021-05-11,4732506,3629222,41.1,31.497,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4
Chile,CHL,AMRO,REPORTING,2021-05-07,15367439,8374316,80.39,43.807,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-21,3
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,2021-05-07,230000,,0.809,,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Wuhan CNBG - Inactivated",2021-02-13,3
Sint Maarten,SXM,AMRO,REPORTING,2021-05-07,24634,14678,57.446,34.229,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-02-22,3
Serbia,SRB,EURO,REPORTING,2021-05-09,3785152,2140534,54.6,30.903,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2020-12-23,4
Colombia,COL,AMRO,REPORTING,2021-05-07,5905706,3769535,11.606,7.408,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-17,3
Ireland,IRL,EURO,REPORTING,2021-05-11,1878938,1373496,37.8,27.667,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
French Guiana,GUF,AMRO,REPORTING,2021-05-07,28179,19867,9.434,6.652,,,
Netherlands,NLD,EURO,REPORTING,2021-05-11,6688371,5075865,38.4,29.159,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Mauritius,MUS,AFRO,REPORTING,2021-05-12,220646,212182,17.35,16.684,"Beijing CNBG - Inactivated,Bharat - Covaxin,SII - Covishield",2021-01-26,3
Mozambique,MOZ,AFRO,REPORTING,2021-05-12,355995,296983,1.139,0.95,"Beijing CNBG - Inactivated,SII - Covishield",2021-03-08,2
Nepal,NPL,SEARO,REPORTING,2021-04-28,2528984,2154998,8.68,7.396,"Beijing CNBG - Inactivated,Bharat - Covaxin,Gamaleya - Sputnik V,SII - Covishield",2021-01-27,4
Puerto Rico,PRI,AMRO,REPORTING,2021-05-07,2042254,1260565,71.386,44.063,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,3
Falkland Islands (Malvinas),FLK,AMRO,OWID,2021-04-14,4407,2632,126.529,75.567,AstraZeneca - AZD1222,,1
Isle of Man,IMN,EURO,OWID,2021-05-09,75783,59932,89.123,70.482,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2
Saint Lucia,LCA,AMRO,REPORTING,2021-05-07,31343,24653,17.069,13.426,"AstraZeneca - AZD1222,SII - Covishield",2021-02-17,2
