COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
North Macedonia,MKD,EURO,REPORTING,2021-05-09,135402,112004,6.5,5.376,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Wuhan CNBG - Inactivated",2021-02-17,5
Gambia,GMB,AFRO,REPORTING,2021-05-12,25445,25445,1.053,1.053,"Beijing CNBG - Inactivated,SII - Covishield",2021-03-10,2
Indonesia,IDN,SEARO,REPORTING,2021-05-04,22536306,13647777,8.239,4.99,"AstraZeneca - AZD1222,Sinovac - CoronaVac",2021-01-13,2
Philippines,PHL,WPRO,REPORTING,2021-04-30,1890975,1614420,1.726,1.473,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Bharat - Covaxin,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-01,9
Palau,PLW,WPRO,REPORTING,2021-05-05,22890,13262,126.52,73.303,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273",2021-01-03,2
Zambia,ZMB,AFRO,REPORTING,2021-05-12,80336,80336,0.437,0.437,SII - Covishield,2021-04-14,1
Solomon Islands,SLB,WPRO,REPORTING,2021-04-26,4886,4886,0.711,0.711,"Beijing CNBG - Inactivated,SII - Covishield",2021-03-22,2
Ukraine,UKR,EURO,REPORTING,2021-05-09,603741,603338,1.4,1.38,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-10,3
Samoa,WSM,WPRO,REPORTING,2021-05-05,7411,7411,3.735,3.735,AstraZeneca - AZD1222,2021-04-18,1
Lebanon,LBN,EMRO,REPORTING,2021-05-06,503078,319363,7.371,4.679,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-02-14,4
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2021-05-07,972846,715006,8.334,6.125,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-30,4
Cyprus,CYP,EURO,REPORTING,2021-05-09,356208,269044,40.1,30.298,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Marshall Islands,MHL,WPRO,REPORTING,2021-05-05,27332,15296,46.174,25.84,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-29,3
Luxembourg,LUX,EURO,REPORTING,2021-05-11,254573,179434,40.7,28.659,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Kenya,KEN,AFRO,REPORTING,2021-05-12,926036,925509,1.722,1.721,SII - Covishield,2021-03-05,1
Lao People's Democratic Republic,LAO,WPRO,REPORTING,2021-05-01,283227,212452,3.893,2.92,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2020-11-25,5
Sao Tome and Principe,STP,AFRO,REPORTING,2021-05-12,12374,12374,5.646,5.646,"AstraZeneca - AZD1222,SII - Covishield",2021-03-15,2
Hungary,HUN,EURO,REPORTING,2021-05-09,6802122,4298731,69.6,44.001,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-23,7
Mongolia,MNG,WPRO,REPORTING,2021-04-30,1206076,844368,36.79,25.756,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-23,6
Central African Republic,CAF,AFRO,REPORTING,2021-05-12,667,667,0.014,0.014,"Bharat - Covaxin,SII - Covishield",2021-03-19,2
Finland,FIN,EURO,REPORTING,2021-05-11,2190404,1969687,39.6,35.649,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Ethiopia,ETH,AFRO,REPORTING,2021-05-12,1397647,1397647,1.216,1.216,"Beijing CNBG - Inactivated,Bharat - Covaxin,SII - Covishield",2021-03-13,3
Spain,ESP,EURO,REPORTING,2021-05-09,20019277,13798431,42.3,29.152,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4
Mauritania,MRT,AFRO,REPORTING,2021-05-12,23478,17364,0.505,0.373,"Beijing CNBG - Inactivated,SII - Covishield",2021-03-26,2
Qatar,QAT,EMRO,OWID,2021-05-10,1844658,1127091,64.027,39.121,Pfizer BioNTech - Comirnaty,,1
Iran (Islamic Republic of),IRN,EMRO,REPORTING,2021-05-10,1767570,1475436,2.104,1.757,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Bharat - Covaxin,Gamaleya - Sputnik V",2021-02-09,4
Uzbekistan,UZB,EURO,OWID,2021-05-11,1173978,1057094,3.5,3.158,AstraZeneca - AZD1222,,1
Republic of Korea,KOR,WPRO,REPORTING,2021-05-04,3733940,,7.283,,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-26,5
Maldives,MDV,SEARO,REPORTING,2021-05-03,437912,301707,81.013,55.815,"Beijing CNBG - Inactivated,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-01,3
United States of America,USA,AMRO,REPORTING,2021-05-07,256126513,153949261,77.379,46.51,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-14,3
Micronesia (Federated States of),FSM,WPRO,REPORTING,2021-05-05,30060,18564,26.134,16.139,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-13,4
Latvia,LVA,EURO,REPORTING,2021-05-09,386436,307539,20.3,16.121,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
"Bonaire, Sint Eustatius and Saba",BES,AMRO,REPORTING,2021-04-09,7391,5726,28.441,22.034,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-02-22,2
Israel,ISR,EURO,REPORTING,2021-05-02,10444666,5403120,120.7,62.424,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-16,2
Switzerland,CHE,EURO,OWID,2021-05-09,3228403,2155259,37.3,24.903,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2
Cabo Verde,CPV,AFRO,REPORTING,2021-05-12,21318,18650,3.834,3.354,"Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-18,2
Angola,AGO,AFRO,REPORTING,2021-05-12,626572,586377,1.906,1.784,SII - Covishield,2021-03-10,1
Tuvalu,TUV,WPRO,REPORTING,2021-04-30,2344,2344,19.878,19.878,AstraZeneca - AZD1222,2021-04-13,1
Montserrat,MSR,AMRO,REPORTING,2021-05-07,2061,1302,41.228,26.045,AstraZeneca - AZD1222,2021-02-08,1
Honduras,HND,AMRO,REPORTING,2021-05-07,69303,66548,0.7,0.672,"AstraZeneca - AZD1222,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273",2021-02-26,4
Cayman Islands,CYM,AMRO,REPORTING,2021-05-07,69299,37062,105.446,56.394,Pfizer BioNTech - Comirnaty,2021-01-15,1
Bahamas,BHS,AMRO,REPORTING,2021-05-07,36314,36314,9.234,9.234,"AstraZeneca - AZD1222,SII - Covishield",2021-03-14,2
Oman,OMN,EMRO,REPORTING,2021-05-02,273658,203937,5.359,3.994,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-29,3
Greenland,GRL,EURO,OWID,2021-05-10,14771,9326,26.018,16.427,Pfizer BioNTech - Comirnaty,,1
Senegal,SEN,AFRO,REPORTING,2021-05-12,497840,431498,2.973,2.577,"Beijing CNBG - Inactivated,SII - Covishield",2021-02-23,2
Togo,TGO,AFRO,REPORTING,2021-05-12,243586,244823,2.942,2.957,SII - Covishield,2021-03-10,1
Botswana,BWA,AFRO,REPORTING,2021-05-12,54620,54620,2.323,2.323,SII - Covishield,2021-03-26,1
Malaysia,MYS,WPRO,REPORTING,2021-05-03,1421664,877646,4.392,2.712,"AstraZeneca - AZD1222,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-24,5
Republic of Moldova,MDA,EURO,REPORTING,2021-05-09,187049,163631,4.6,4.056,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-03,5
Thailand,THA,SEARO,REPORTING,2021-05-03,1809894,1296440,2.593,1.857,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,SII - Covishield,Sinovac - CoronaVac",2021-02-28,4
Egypt,EGY,EMRO,REPORTING,2021-05-11,1371976,1133956,1.341,1.108,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Sinovac - CoronaVac",2021-01-24,4
Estonia,EST,EURO,REPORTING,2021-05-09,530363,370894,39.9,27.908,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Gabon,GAB,AFRO,REPORTING,2021-05-12,13638,8859,0.613,0.398,Beijing CNBG - Inactivated,2021-03-23,1
Niger,NER,AFRO,REPORTING,2021-05-12,74106,68158,0.306,0.282,"Beijing CNBG - Inactivated,SII - Covishield",2021-03-29,2
Nicaragua,NIC,AMRO,REPORTING,2021-05-07,166350,166350,2.511,2.511,"Gamaleya - Sputnik V,SII - Covishield",2021-03-02,2
South Africa,ZAF,AFRO,REPORTING,2021-05-12,182983,182983,0.309,0.309,Janssen - Ad26.COV 2.5,2021-02-17,1
Barbados,BRB,AMRO,REPORTING,2021-05-07,97329,75148,33.868,26.15,"AstraZeneca - AZD1222,SII - Covishield",2021-02-10,2
Norway,NOR,EURO,REPORTING,2021-05-09,1909369,1449264,35.6,27,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-03-31,4
Kuwait,KWT,EMRO,REPORTING,2021-04-28,1120000,,26.226,,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Pfizer BioNTech - Comirnaty",2020-12-28,3
Guadeloupe,GLP,AMRO,REPORTING,2021-05-07,24213,16639,6.051,4.158,,,
Costa Rica,CRI,AMRO,REPORTING,2021-05-07,950252,605099,18.654,11.878,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty",,2
New Zealand,NZL,WPRO,REPORTING,2021-04-30,266585,194202,5.528,4.027,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-19,4
Bonaire,XAA,AMRO,REPORTING,2021-05-07,17681,12398,84.537,59.278,,,
Germany,DEU,EURO,REPORTING,2021-05-11,35741072,27716203,43,33.326,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Japan,JPN,WPRO,REPORTING,2021-05-01,3489719,2493961,2.759,1.972,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-17,4
Iceland,ISL,EURO,REPORTING,2021-05-02,146569,110195,40.3,30.262,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4
Dominican Republic,DOM,AMRO,REPORTING,2021-05-07,2197153,1389890,20.254,12.813,"AstraZeneca - AZD1222,SII - Covishield,Sinovac - CoronaVac",2021-02-16,3
San Marino,SMR,EURO,REPORTING,2021-05-09,33752,21210,99.5,62.496,"Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-02-24,2
Turkmenistan,TKM,EURO,REPORTING,2021-04-04,41993,32240,0.7,0.535,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SRCVB - EpiVacCorona",2021-03-31,4
Eswatini,SWZ,AFRO,REPORTING,2021-05-12,34897,34897,3.008,3.008,SII - Covishield,2021-03-19,1
Namibia,NAM,AFRO,REPORTING,2021-05-12,38855,15076,1.529,0.593,"Beijing CNBG - Inactivated,SII - Covishield",2021-03-19,2
Papua New Guinea,PNG,WPRO,REPORTING,2021-04-26,3075,3075,0.034,0.034,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,SII - Covishield",2021-03-30,3
Nauru,NRU,WPRO,REPORTING,2021-05-03,4179,2985,38.573,27.552,"AstraZeneca - AZD1222,SII - Covishield",2021-04-09,2
Faroe Islands,FRO,EURO,OWID,2021-05-09,23519,16896,48.131,34.577,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2
Jamaica,JAM,AMRO,REPORTING,2021-05-07,145258,143656,4.905,4.851,"AstraZeneca - AZD1222,SII - Covishield",2021-03-10,2
Panama,PAN,AMRO,REPORTING,2021-05-07,731666,467692,16.957,10.839,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty",2021-01-20,2
Greece,GRC,EURO,REPORTING,2021-05-09,3662898,2447619,34.2,22.835,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,2021-05-07,14387,12657,12.968,11.409,"AstraZeneca - AZD1222,Gamaleya - Sputnik V,SII - Covishield",2021-02-01,3
Benin,BEN,AFRO,REPORTING,2021-05-12,10683,10683,0.088,0.088,"SII - Covishield,Sinovac - CoronaVac",2021-03-29,2
Malawi,MWI,AFRO,REPORTING,2021-05-12,324328,324328,1.695,1.695,SII - Covishield,2021-03-11,1
Viet Nam,VNM,WPRO,REPORTING,2021-04-30,519262,509855,0.533,0.524,"AstraZeneca - AZD1222,Gamaleya - Sputnik V",2021-03-08,2
Gibraltar,GIB,EURO,OWID,2021-05-08,74256,38727,220.403,114.948,Pfizer BioNTech - Comirnaty,,1
Nigeria,NGA,AFRO,REPORTING,2021-05-12,1418449,1418449,0.688,0.688,SII - Covishield,2021-03-05,1
Algeria,DZA,AFRO,REPORTING,2021-05-12,,,,,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2021-01-30,3
Equatorial Guinea,GNQ,AFRO,REPORTING,2021-05-12,75518,64646,5.383,4.608,"Beijing CNBG - Inactivated,Sinovac - CoronaVac",2021-02-12,2
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,2021-05-03,40831,22183,70.94,38.541,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-19,3
Bahrain,BHR,EMRO,OWID,2021-05-10,1394873,806143,81.975,47.376,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Gamaleya - Sputnik V",,4
Trinidad and Tobago,TTO,AMRO,REPORTING,2021-05-07,59377,58897,4.243,4.208,"AstraZeneca - AZD1222,SII - Covishield",2021-02-17,2
Cameroon,CMR,AFRO,REPORTING,2021-05-12,44391,43488,0.167,0.164,"Beijing CNBG - Inactivated,SII - Covishield",2021-04-12,2
Libya,LBY,EMRO,REPORTING,2021-05-10,106559,106559,1.551,1.551,"AstraZeneca - AZD1222,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-04-11,5
Morocco,MAR,EMRO,REPORTING,2021-05-10,9864561,5473809,26.726,14.83,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5",2021-01-28,4
Guernsey,GGY,EURO,OWID,2021-04-20,46587,32969,72.264,51.14,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2
Poland,POL,EURO,REPORTING,2021-05-11,14418781,10584777,38,27.885,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Guam,GUM,WPRO,REPORTING,2021-05-05,130201,72295,77.145,42.835,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-04,3
Bosnia and Herzegovina,BIH,EURO,OWID,2021-04-27,106464,83260,3.2,2.538,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4
Aruba,ABW,AMRO,REPORTING,2021-05-07,78930,55143,73.928,51.648,Pfizer BioNTech - Comirnaty,2021-02-17,1
Jordan,JOR,EMRO,REPORTING,2021-04-29,922192,701491,9.038,6.875,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",2021-01-13,5
Canada,CAN,AMRO,REPORTING,2021-05-07,15182710,13970492,40.227,37.016,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-14,3
Pakistan,PAK,EMRO,REPORTING,2021-05-11,3629065,1751707,1.643,0.793,"Beijing CNBG - Inactivated,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,SII - Covishield,Sinovac - CoronaVac",2021-02-03,5
Portugal,PRT,EURO,REPORTING,2021-05-09,4082160,2948709,39.6,28.641,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Slovenia,SVN,EURO,REPORTING,2021-05-09,738035,483877,35.2,23.087,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Côte d’Ivoire,CIV,AFRO,REPORTING,2021-05-12,260674,224915,0.988,0.853,"Gamaleya - Sputnik V,SII - Covishield",2021-03-01,2
Turkey,TUR,EURO,OWID,2021-05-11,25178674,14660551,29.9,17.383,"Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac",,2
British Virgin Islands,VGB,AMRO,REPORTING,2021-05-07,11019,10007,36.442,33.095,AstraZeneca - AZD1222,2021-02-11,1
Yemen,YEM,EMRO,REPORTING,2021-05-09,18555,18555,0.062,0.062,SII - Covishield,2021-04-20,1
Cambodia,KHM,WPRO,REPORTING,2021-05-01,2284788,1339566,13.666,8.012,"Beijing CNBG - Inactivated,SII - Covishield,Sinovac - CoronaVac",2021-02-10,3
Slovakia,SVK,EURO,REPORTING,2021-05-11,1859050,1262108,34.1,23.125,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
