Entity,Code,Day,people_vaccinated_per_hundred,willingness_covid_vaccinate_this_week_pct_pop,uncertain_covid_vaccinate_this_week_pct_pop,unwillingness_covid_vaccinate_this_week_pct_pop
Australia,AUS,2021-02-28,0.13,52.91,19.03,27.93
Canada,CAN,2021-01-31,2.24,54.26,15.56,27.94
Canada,CAN,2021-02-28,3.61,53.56,15.65,27.18
Canada,CAN,2021-03-31,13.26,51.96,12.21,22.57
Canada,CAN,2021-04-30,32.67,36.12,10.09,21.12
Denmark,DNK,2020-12-31,0.59,52.83,16.29,30.29
Denmark,DNK,2021-01-31,3.17,63.6,15.1,18.13
Denmark,DNK,2021-02-28,7.38,66.66,10.06,15.9
Denmark,DNK,2021-03-31,12.81,56.4,11.09,19.7
Denmark,DNK,2021-04-30,23.19,51.27,9.03,16.51
France,FRA,2020-12-31,0,19.9,15.4,64.7
France,FRA,2021-01-31,2.42,34.76,17.13,45.69
France,FRA,2021-02-28,4.54,38.87,14.53,42.06
France,FRA,2021-03-31,12.82,34.94,14.53,37.71
France,FRA,2021-04-30,23.2,29.66,13.61,33.53
Germany,DEU,2020-12-31,0.24,40.92,21.08,37.76
Germany,DEU,2021-01-31,2.32,50.8,16.46,30.42
Germany,DEU,2021-02-28,4.95,56.48,13.14,25.43
Germany,DEU,2021-03-31,11.87,51.39,12.75,23.99
Germany,DEU,2021-04-30,27.62,41.96,11.41,19.01
Italy,ITA,2020-12-31,0.07,39.41,23.79,36.73
Italy,ITA,2021-01-31,2.28,54.01,17.58,26.13
Italy,ITA,2021-02-28,4.91,57.76,15.36,21.97
Italy,ITA,2021-03-31,11.78,51.62,12.73,23.87
Italy,ITA,2021-04-30,23.35,43.89,11.14,21.62
Japan,JPN,2021-03-31,0.69,53.03,24.95,21.33
Netherlands,NLD,2021-01-31,2.04,60.48,17.71,19.77
Netherlands,NLD,2021-02-28,6.49,57.15,16.37,19.99
Norway,NOR,2020-12-31,0.04,45.68,21.79,32.49
Norway,NOR,2021-01-31,2.01,54.3,17.72,25.97
Norway,NOR,2021-02-28,6.21,55.78,13.67,24.34
Norway,NOR,2021-03-31,12.83,50.01,12.39,24.77
Norway,NOR,2021-04-30,25.48,43.56,10.21,20.75
Singapore,SGP,2021-01-31,2.65,35.39,33.99,27.97
South Korea,KOR,2021-02-28,0.04,49.73,26.17,24.06
South Korea,KOR,2021-03-31,1.71,48.73,27.11,22.45
South Korea,KOR,2021-04-30,6.49,45.71,25.73,22.07
Spain,ESP,2021-01-31,2.68,51.33,20.71,25.28
Spain,ESP,2021-02-28,5.49,52.04,18.58,23.89
Spain,ESP,2021-03-31,11.37,47.67,17.44,23.52
Sweden,SWE,2021-01-31,2.92,54.23,16.89,25.96
Sweden,SWE,2021-02-28,5.47,58.43,11.96,24.14
United Kingdom,GBR,2021-01-31,13.69,67.4,7.24,11.67
United Kingdom,GBR,2021-02-28,29.87,53.53,6.16,10.44
United Kingdom,GBR,2021-03-31,45.88,36.52,5.6,12
United Kingdom,GBR,2021-04-30,50.62,33.21,3.99,12.18
United States,USA,2021-02-28,14.88,40.16,12.86,32.1
United States,USA,2021-03-31,29.18,30.32,12.82,27.68
United States,USA,2021-04-30,43.32,19.57,8.92,28.19